CPF-Source-ID-Anchor	CPF-Type	CPF-Relation-Type	CPF-Source-ID-Target	RD-Type	RD-Relation-Type	RD-Source-ID
24618.r003	person	associatedWith	24618.c01	ArchivalResource	referencedIn	24618.xml
24618.r004	person	associatedWith	24618.c01	ArchivalResource	referencedIn	24618.xml
24618.r005	person	associatedWith	24618.c01	ArchivalResource	referencedIn	24618.xml
24618.r006	person	associatedWith	24618.c01	ArchivalResource	referencedIn	24618.xml
24618.r007	person	associatedWith	24618.c01	ArchivalResource	referencedIn	24618.xml
24618.r008	person	associatedWith	24618.c01	ArchivalResource	referencedIn	24618.xml
24618.r009	person	associatedWith	24618.c01	ArchivalResource	referencedIn	24618.xml
24618.r010	person	associatedWith	24618.c01	ArchivalResource	referencedIn	24618.xml
24618.r011	person	associatedWith	24618.c01	ArchivalResource	referencedIn	24618.xml
24618.r012	person	associatedWith	24618.c01	ArchivalResource	referencedIn	24618.xml
24618.r013	person	associatedWith	24618.c01	ArchivalResource	referencedIn	24618.xml
24618.r014	person	associatedWith	24618.c01	ArchivalResource	referencedIn	24618.xml
24618.r015	person	associatedWith	24618.c01	ArchivalResource	referencedIn	24618.xml
24618.r016	person	associatedWith	24618.c01	ArchivalResource	referencedIn	24618.xml
24618.r017	person	associatedWith	24618.c01	ArchivalResource	referencedIn	24618.xml
24618.r018	person	associatedWith	24618.c01	ArchivalResource	referencedIn	24618.xml
24618.r019	person	associatedWith	24618.c01	ArchivalResource	referencedIn	24618.xml
24618.r020	person	associatedWith	24618.c01	ArchivalResource	referencedIn	24618.xml
24618.r021	person	associatedWith	24618.c01	ArchivalResource	referencedIn	24618.xml
26967.c01	corporateBody	associatedWith	26967.r001	ArchivalResource	creatorOf	26967.xml
26967.r001	person	associatedWith	26967.c01	ArchivalResource	referencedIn	26967.xml
24551.c01				ArchivalResource	creatorOf	24551.xml
24592.c01	person	associatedWith	24592.r001	ArchivalResource	creatorOf	24592.xml
	corporateBody	associatedWith	24592.r002
24592.r001	person	associatedWith	24592.c01	ArchivalResource	referencedIn	24592.xml
24592.r002	person	associatedWith	24592.c01	ArchivalResource	referencedIn	24592.xml
29934.c01	person	associatedWith	29934.r001	ArchivalResource	creatorOf	29934.xml
	person	associatedWith	29934.r002
	person	associatedWith	29934.r003
	person	associatedWith	29934.r004
	person	associatedWith	29934.r005
29934.r001	person	associatedWith	29934.c01	ArchivalResource	referencedIn	29934.xml
29934.r002	person	associatedWith	29934.c01	ArchivalResource	referencedIn	29934.xml
29934.r003	person	associatedWith	29934.c01	ArchivalResource	referencedIn	29934.xml
29934.r004	person	associatedWith	29934.c01	ArchivalResource	referencedIn	29934.xml
29934.r005	person	associatedWith	29934.c01	ArchivalResource	referencedIn	29934.xml
24828.c01	person	associatedWith	24828.r001	ArchivalResource	creatorOf	24828.xml
	person	associatedWith	24828.r002
	person	associatedWith	24828.r003
	person	associatedWith	24828.r004
	person	associatedWith	24828.r005
	person	associatedWith	24828.r006
	person	associatedWith	24828.r007
24828.r001	person	associatedWith	24828.c01	ArchivalResource	referencedIn	24828.xml
24828.r002	person	associatedWith	24828.c01	ArchivalResource	referencedIn	24828.xml
